time,T_waterIn.T,T_gasIn.T,T_gasOut.T,T_waterOut.T,T_gasIn.inlet.m_flow,T_gasOut.inlet.m_flow,T_waterIn.inlet.m_flow,T_waterOut.inlet.m_flow
271,295.307,321.726,315.49,316.591,0.606862,0.606862,0.083115,0.0831234
271,295.307,321.726,315.49,316.591,0.606862,0.606862,0.083115,0.0831234
275,295.307,321.731,315.493,316.594,0.606862,0.606862,0.083115,0.0831234
275,295.307,321.731,315.493,316.594,0.606862,0.606862,0.083115,0.0831234
276,295.307,321.732,315.494,316.595,0.606862,0.606862,0.083115,0.0831234
276,295.307,321.732,315.494,316.595,0.606862,0.606862,0.083115,0.0831234
280,295.307,321.738,315.498,316.598,0.606862,0.606862,0.083115,0.0831234
280,295.307,321.738,315.498,316.598,0.606862,0.606862,0.083115,0.0831234
281,295.307,321.739,315.499,316.598,0.606862,0.606862,0.083115,0.0831234
281,295.307,321.739,315.499,316.598,0.606862,0.606862,0.083115,0.0831234
285,295.307,321.744,315.502,316.601,0.606862,0.606862,0.083115,0.0831235
285,295.307,321.744,315.502,316.601,0.606862,0.606862,0.083115,0.0831235
286,295.307,321.746,315.503,316.602,0.606862,0.606862,0.083115,0.0831235
286,295.307,321.746,315.503,316.602,0.606862,0.606862,0.083115,0.0831235
290,295.307,321.751,315.507,316.605,0.606862,0.606862,0.083115,0.0831235
290,295.307,321.751,315.507,316.605,0.606862,0.606862,0.083115,0.0831235
291,295.307,321.752,315.507,316.606,0.606862,0.606862,0.083115,0.0831235
291,295.307,321.752,315.507,316.606,0.606862,0.606862,0.083115,0.0831235
295,295.307,321.757,315.511,316.609,0.606862,0.606862,0.083115,0.0831235
295,295.307,321.757,315.511,316.609,0.606862,0.606862,0.083115,0.0831235
296,295.307,321.759,315.512,316.61,0.606862,0.606862,0.083115,0.0831235
296,295.307,321.759,315.512,316.61,0.606862,0.606862,0.083115,0.0831235
300,295.307,321.764,315.515,316.613,0.606862,0.606862,0.083115,0.0831235
300,295.307,321.764,315.515,316.613,0.606862,0.606862,0.083115,0.0831235
301,295.307,321.765,315.516,316.614,0.606862,0.606862,0.083115,0.0831235
301,295.307,321.765,315.516,316.614,0.606862,0.606862,0.083115,0.0831235
305,295.307,321.77,315.52,316.617,0.606862,0.606862,0.083115,0.0831235
305,295.307,321.77,315.52,316.617,0.606862,0.606862,0.083115,0.0831235
306,295.307,321.772,315.521,316.617,0.606862,0.606862,0.083115,0.0831235
306,295.307,321.772,315.521,316.617,0.606862,0.606862,0.083115,0.0831235
310,295.307,321.777,315.524,316.621,0.606862,0.606862,0.083115,0.0831235
310,295.307,321.777,315.524,316.621,0.606862,0.606862,0.083115,0.0831235
311,295.307,321.778,315.525,316.621,0.606862,0.606862,0.083115,0.0831235
311,295.307,321.778,315.525,316.621,0.606862,0.606862,0.083115,0.0831235
315,295.307,321.784,315.529,316.624,0.606862,0.606862,0.083115,0.0831235
315,295.307,321.784,315.529,316.624,0.606862,0.606862,0.083115,0.0831235
316,295.307,321.785,315.53,316.625,0.606862,0.606862,0.083115,0.0831235
316,295.307,321.785,315.53,316.625,0.606862,0.606862,0.083115,0.0831235
320,295.307,321.79,315.533,316.628,0.606862,0.606862,0.083115,0.0831235
320,295.307,321.79,315.533,316.628,0.606862,0.606862,0.083115,0.0831235
321,295.307,321.791,315.534,316.629,0.606862,0.606862,0.083115,0.0831235
321,295.307,321.791,315.534,316.629,0.606862,0.606862,0.083115,0.0831235
325,295.307,321.797,315.538,316.632,0.606862,0.606862,0.083115,0.0831235
325,295.307,321.797,315.538,316.632,0.606862,0.606862,0.083115,0.0831235
326,295.307,321.798,315.538,316.633,0.606862,0.606862,0.083115,0.0831235
326,295.307,321.798,315.538,316.633,0.606862,0.606862,0.083115,0.0831235
330,295.307,321.803,315.542,316.636,0.606862,0.606862,0.083115,0.0831235
330,295.307,321.803,315.542,316.636,0.606862,0.606862,0.083115,0.0831235
331,295.307,321.805,315.543,316.637,0.606862,0.606862,0.083115,0.0831235
331,295.307,321.805,315.543,316.637,0.606862,0.606862,0.083115,0.0831235
335,295.307,321.81,315.546,316.64,0.606862,0.606862,0.083115,0.0831235
335,295.307,321.81,315.546,316.64,0.606862,0.606862,0.083115,0.0831235
336,295.307,321.811,315.547,316.64,0.606862,0.606862,0.083115,0.0831235
336,295.307,321.811,315.547,316.64,0.606862,0.606862,0.083115,0.0831235
340,295.307,321.816,315.551,316.643,0.606862,0.606862,0.083115,0.0831235
340,295.307,321.816,315.551,316.643,0.606862,0.606862,0.083115,0.0831235
341,295.307,321.818,315.552,316.644,0.606862,0.606862,0.083115,0.0831235
341,295.307,321.818,315.552,316.644,0.606862,0.606862,0.083115,0.0831235
345,295.307,321.823,315.555,316.647,0.606862,0.606862,0.083115,0.0831235
345,295.307,321.823,315.555,316.647,0.606862,0.606862,0.083115,0.0831235
346,295.307,321.824,315.556,316.648,0.606862,0.606862,0.083115,0.0831235
346,295.307,321.824,315.556,316.648,0.606862,0.606862,0.083115,0.0831235
350,295.307,321.829,315.56,316.651,0.606862,0.606862,0.083115,0.0831235
350,295.307,321.829,315.56,316.651,0.606862,0.606862,0.083115,0.0831235
351,295.307,321.831,315.561,316.652,0.606862,0.606862,0.083115,0.0831235
351,295.307,321.831,315.561,316.652,0.606862,0.606862,0.083115,0.0831235
355,295.307,321.836,315.564,316.655,0.606862,0.606862,0.083115,0.0831235
355,295.307,321.836,315.564,316.655,0.606862,0.606862,0.083115,0.0831235
356,295.307,321.837,315.565,316.656,0.606862,0.606862,0.083115,0.0831235
356,295.307,321.837,315.565,316.656,0.606862,0.606862,0.083115,0.0831235
360,295.307,321.843,315.569,316.659,0.606862,0.606862,0.083115,0.0831235
360,295.307,321.843,315.569,316.659,0.606862,0.606862,0.083115,0.0831235
361,295.307,321.844,315.57,316.659,0.606862,0.606862,0.083115,0.0831235
361,295.307,321.844,315.57,316.659,0.606862,0.606862,0.083115,0.0831235
365,295.307,321.849,315.573,316.663,0.606862,0.606862,0.083115,0.0831235
365,295.307,321.849,315.573,316.663,0.606862,0.606862,0.083115,0.0831235
366,295.307,321.85,315.574,316.663,0.606862,0.606862,0.083115,0.0831235
366,295.307,321.85,315.574,316.663,0.606862,0.606862,0.083115,0.0831235
370,295.307,321.856,315.578,316.666,0.606862,0.606862,0.083115,0.0831235
370,295.307,321.856,315.578,316.666,0.606862,0.606862,0.083115,0.0831235
371,295.307,321.857,315.578,316.667,0.606862,0.606862,0.083115,0.0831235
