time,T_gasOut.T,T_waterOut.T,T_gasIn.T,T_waterIn.T,T_waterIn.inlet.m_flow,T_waterOut.inlet.m_flow,T_gasOut.inlet.m_flow,T_gasIn.inlet.m_flow
255,369.444,370.359,376.373,302.06,0.08543,0.0838548,-1.35E-13,0
256,369.444,370.204,376.373,302.06,0.08543,0.0838557,-1.37E-13,0
256,369.444,370.204,376.373,302.06,0.08543,0.0838557,-1.37E-13,0
260,369.444,369.556,376.373,302.06,0.08543,0.0838598,-1.48E-13,0
260,369.444,369.556,376.373,302.06,0.08543,0.0838598,-1.48E-13,0
261,369.444,369.387,376.373,302.06,0.08543,0.0838607,-1.50E-13,0
261,369.444,369.387,376.373,302.06,0.08543,0.0838607,-1.50E-13,0
265,369.444,368.686,376.373,302.06,0.08543,0.0838652,-1.61E-13,0
265,369.444,368.686,376.373,302.06,0.08543,0.0838652,-1.61E-13,0
266,369.444,368.504,376.373,302.06,0.08543,0.0838664,-1.63E-13,0
266,369.444,368.504,376.373,302.06,0.08543,0.0838664,-1.63E-13,0
270,369.444,367.749,376.373,302.06,0.08543,0.0838717,-1.73E-13,0
270,369.444,367.749,376.373,302.06,0.08543,0.0838717,-1.73E-13,0
271,369.444,367.554,376.373,302.06,0.08543,0.0838728,-1.76E-13,0
271,369.444,367.554,376.373,302.06,0.08543,0.0838728,-1.76E-13,0
275,369.444,366.744,376.373,302.06,0.08543,0.0838794,-1.86E-13,0
275,369.444,366.744,376.373,302.06,0.08543,0.0838794,-1.86E-13,0
276,369.444,366.535,376.373,302.06,0.08543,0.0838812,-1.89E-13,0
276,369.444,366.535,376.373,302.06,0.08543,0.0838812,-1.89E-13,0
280,369.444,365.67,376.373,302.06,0.08543,0.0838888,-1.99E-13,0
280,369.444,365.67,376.373,302.06,0.08543,0.0838888,-1.99E-13,0
281,369.444,365.448,376.373,302.06,0.08543,0.0838907,-2.02E-13,0
281,369.444,365.448,376.373,302.06,0.08543,0.0838907,-2.02E-13,0
285,369.444,364.529,376.373,302.06,0.08543,0.0838989,-2.12E-13,0
285,369.444,364.529,376.373,302.06,0.08543,0.0838989,-2.12E-13,0
286,369.444,364.293,376.373,302.06,0.08543,0.0839009,-2.14E-13,0
286,369.444,364.293,376.373,302.06,0.08543,0.0839009,-2.14E-13,0
290,369.444,363.321,376.373,302.06,0.08543,0.0839097,-2.24E-13,0
290,369.444,363.321,376.373,302.06,0.08543,0.0839097,-2.24E-13,0
