time,T_gasIn.T,T_gasOut.T,T_waterIn.T,T_waterOut.T
130,0.606862,0.606862,0.606862,0.606862
130.2,0.606862,0.606862,0.606862,0.606862
130.2,0.606862,0.606862,0.606862,0.606862
131,0.606862,0.606862,0.606862,0.606862
131,0.606862,0.606862,0.606862,0.606862
131.2,0.606862,0.606862,0.606862,0.606862
131.2,0.606862,0.606862,0.606862,0.606862
132,0.606862,0.606862,0.606862,0.606862
132,0.606862,0.606862,0.606862,0.606862
132.2,0.606862,0.606862,0.606862,0.606862
132.2,0.606862,0.606862,0.606862,0.606862
133,0.606862,0.606862,0.606862,0.606862
133,0.606862,0.606862,0.606862,0.606862
133.2,0.606862,0.606862,0.606862,0.606862
133.2,0.606862,0.606862,0.606862,0.606862
134,0.606862,0.606862,0.606862,0.606862
134,0.606862,0.606862,0.606862,0.606862
134.2,0.606862,0.606862,0.606862,0.606862
134.2,0.606862,0.606862,0.606862,0.606862
135,0.606862,0.606862,0.606862,0.606862
135,0.606862,0.606862,0.606862,0.606862
135.2,0.606862,0.606862,0.606862,0.606862
135.2,0.606862,0.606862,0.606862,0.606862
136,0.606862,0.606862,0.606862,0.606862
136,0.606862,0.606862,0.606862,0.606862
136.2,0.606862,0.606862,0.606862,0.606862
136.2,0.606862,0.606862,0.606862,0.606862
137,0.606862,0.606862,0.606862,0.606862
137,0.606862,0.606862,0.606862,0.606862
137.2,0.606862,0.606862,0.606862,0.606862
137.2,0.606862,0.606862,0.606862,0.606862
138,0.606862,0.606862,0.606862,0.606862
138,0.606862,0.606862,0.606862,0.606862
138.2,0.606862,0.606862,0.606862,0.606862
138.2,0.606862,0.606862,0.606862,0.606862
139,0.606862,0.606862,0.606862,0.606862
139,0.606862,0.606862,0.606862,0.606862
139.2,0.606862,0.606862,0.606862,0.606862
139.2,0.606862,0.606862,0.606862,0.606862
140,0.606862,0.606862,0.606862,0.606862
140,0.606862,0.606862,0.606862,0.606862
140.2,0.606862,0.606862,0.606862,0.606862
140.2,0.606862,0.606862,0.606862,0.606862
141,0.606862,0.606862,0.606862,0.606862
141,0.606862,0.606862,0.606862,0.606862
141.2,0.606862,0.606862,0.606862,0.606862
141.2,0.606862,0.606862,0.606862,0.606862
142,0.606862,0.606862,0.606862,0.606862
142,0.606862,0.606862,0.606862,0.606862
142.2,0.606862,0.606862,0.606862,0.606862
142.2,0.606862,0.606862,0.606862,0.606862
143,0.606862,0.606862,0.606862,0.606862
143,0.606862,0.606862,0.606862,0.606862
143.2,0.606862,0.606862,0.606862,0.606862
143.2,0.606862,0.606862,0.606862,0.606862
144,0.606862,0.606862,0.606862,0.606862
144,0.606862,0.606862,0.606862,0.606862
144.2,0.606862,0.606862,0.606862,0.606862
144.2,0.606862,0.606862,0.606862,0.606862
145,0.606862,0.606862,0.606862,0.606862
145,0.606862,0.606862,0.606862,0.606862
145.2,0.606862,0.606862,0.606862,0.606862
145.2,0.606862,0.606862,0.606862,0.606862
146,0.606862,0.606862,0.606862,0.606862
146,0.606862,0.606862,0.606862,0.606862
146.2,0.606862,0.606862,0.606862,0.606862
146.2,0.606862,0.606862,0.606862,0.606862
147,0.606862,0.606862,0.606862,0.606862
147,0.606862,0.606862,0.606862,0.606862
147.2,0.606862,0.606862,0.606862,0.606862
147.2,0.606862,0.606862,0.606862,0.606862
148,0.606862,0.606862,0.606862,0.606862
148,0.606862,0.606862,0.606862,0.606862
148.2,0.606862,0.606862,0.606862,0.606862
148.2,0.606862,0.606862,0.606862,0.606862
149,0.606862,0.606862,0.606862,0.606862
149,0.606862,0.606862,0.606862,0.606862
149.2,0.606862,0.606862,0.606862,0.606862
