time,T_gasIn.T,T_waterOut.T,T_gasOut.T,T_waterIn.T,T_gasIn.inlet.m_flow,T_waterIn.inlet.m_flow
535,376.373,359.571,370.344,302.06,1.21894,0.08543
535,376.373,359.571,370.344,302.06,1.21894,0.08543
536,376.373,359.571,370.344,302.06,1.21894,0.08543
536,376.373,359.571,370.344,302.06,1.21894,0.08543
540,376.373,359.571,370.344,302.06,1.21894,0.08543
540,376.373,359.571,370.344,302.06,1.21894,0.08543
541,376.373,359.571,370.344,302.06,1.21894,0.08543
541,376.373,359.571,370.344,302.06,1.21894,0.08543
545,376.373,359.571,370.344,302.06,1.21894,0.08543
545,376.373,359.571,370.344,302.06,1.21894,0.08543
546,376.373,359.571,370.344,302.06,1.21894,0.08543
546,376.373,359.571,370.344,302.06,1.21894,0.08543
550,376.373,359.571,370.344,302.06,1.21894,0.08543
550,376.373,359.571,370.344,302.06,1.21894,0.08543
551,376.373,359.571,370.344,302.06,1.21894,0.08543
551,376.373,359.571,370.344,302.06,1.21894,0.08543
555,376.373,359.571,370.344,302.06,1.21894,0.08543
555,376.373,359.571,370.344,302.06,1.21894,0.08543
556,376.373,359.571,370.344,302.06,1.21894,0.08543
556,376.373,359.571,370.344,302.06,1.21894,0.08543
560,376.373,359.571,370.344,302.06,1.21894,0.08543
560,376.373,359.571,370.344,302.06,1.21894,0.08543
561,376.373,359.571,370.344,302.06,1.21894,0.08543
561,376.373,359.571,370.344,302.06,1.21894,0.08543
565,376.373,359.571,370.344,302.06,1.21894,0.08543
565,376.373,359.571,370.344,302.06,1.21894,0.08543
566,376.373,359.571,370.344,302.06,1.21894,0.08543
566,376.373,359.571,370.344,302.06,1.21894,0.08543
570,376.373,359.571,370.344,302.06,1.21894,0.08543
570,376.373,359.571,370.344,302.06,1.21894,0.08543
571,376.373,359.571,370.344,302.06,1.21894,0.08543
