time_t,RecupHP_out_T,RecupHP_out_P,Turbine_in_T,Turbine_in_P,Cycle_Mdot,HotOil_Evap_in_T,HotOil_Evap_out_T,HotOil_Mdot
83,28.755324,12.728764,101.136095,12.735122,0.086534,104.536242,97.609365,1.212105
83.5,28.755324,12.728764,101.136095,12.735122,0.086582,104.536242,97.609365,1.212595
84,28.7504,12.73118,101.147779,12.746691,0.086605,104.538161,97.618876,1.213293
84.5,28.742571,12.731896,101.15817,12.740906,0.086526,104.532798,97.616117,1.212986
85,28.742571,12.731896,101.15817,12.740906,0.08654,104.532798,97.616117,1.212883
85.5,28.747888,12.733639,101.163391,12.740906,0.086673,104.503819,97.602171,1.212631
86,28.747888,12.733639,101.163391,12.740906,0.086664,104.503819,97.602171,1.212135
86.5,28.74065,12.735005,101.185267,12.740906,0.086658,104.510855,97.607936,1.212775
87,28.751089,12.736587,101.176815,12.740906,0.086517,104.496341,97.603748,1.210224
87.5,28.751089,12.736587,101.176815,12.746691,0.086538,104.496341,97.603748,1.209803
88,28.745525,12.738462,101.197399,12.746691,0.086575,104.486156,97.592069,1.211162
88.5,28.745525,12.738462,101.197399,12.746691,0.086654,104.486156,97.592069,1.212756
89,28.736317,12.739883,101.209481,12.746691,0.086709,104.480351,97.603403,1.212111
89.5,28.736317,12.739883,101.209481,12.746691,0.086699,104.480351,97.603403,1.21128
90,28.739173,12.741167,101.213259,12.746691,0.086667,104.463131,97.586648,1.210364
90.5,28.734692,12.742001,101.225938,12.746691,0.086683,104.463524,97.578172,1.210163
91,28.734692,12.742001,101.225938,12.746691,0.086688,104.463524,97.578172,1.210589
91.5,28.737794,12.743691,101.214353,12.752475,0.086705,104.456784,97.576447,1.210343
92,28.737794,12.743691,101.214353,12.752475,0.086655,104.456784,97.576447,1.210826
92.5,28.730359,12.74529,101.23613,12.752475,0.086728,104.444386,97.567528,1.212249
93,28.725337,12.746088,101.250996,12.752475,0.086718,104.436366,97.564029,1.211565
93.5,28.725337,12.746088,101.250996,12.752475,0.086755,104.436366,97.564029,1.211285
94,28.738828,12.747001,101.266708,12.752475,0.086735,104.415161,97.556243,1.21113
94.5,28.738828,12.747001,101.266708,12.752475,0.086649,104.415161,97.556243,1.21201
95,28.726518,12.748819,101.269144,12.752475,0.086694,104.416834,97.549985,1.211371
95.5,28.732969,12.749752,101.265117,12.75826,0.086715,104.39676,97.55166,1.210804
96,28.732969,12.749752,101.265117,12.75826,0.086717,104.39676,97.55166,1.210362
96.5,28.728537,12.750966,101.284855,12.75826,0.086732,104.38815,97.541164,1.210526
97,28.728537,12.750966,101.284855,12.75826,0.086814,104.38815,97.541164,1.210078
97.5,28.719428,12.75333,101.302307,12.75826,0.086811,104.383427,97.530322,1.209813
98,28.719428,12.75333,101.302307,12.75826,0.086818,104.383427,97.530322,1.210203
98.5,28.728931,12.754624,101.295346,12.764044,0.086745,104.358482,97.531899,1.210774
99,28.726272,12.755595,101.304395,12.764044,0.086757,104.353907,97.523374,1.21055
99.5,28.726272,12.755595,101.304395,12.764044,0.086819,104.353907,97.523374,1.210009
100,28.727454,12.757276,101.312499,12.764044,0.08682,104.337966,97.50933,1.209933
100.5,28.727454,12.757276,101.312499,12.764044,0.086796,104.337966,97.50933,1.210515
101,28.726026,12.759154,101.322294,12.764044,0.086893,104.32173,97.508837,1.209917
101.5,28.720413,12.75985,101.329056,12.764044,0.086795,104.322615,97.492279,1.210637
102,28.720413,12.75985,101.329056,12.775613,0.086815,104.322615,97.492279,1.21071
102.5,28.726666,12.761544,101.334077,12.764044,0.086836,104.311053,97.486169,1.207792
103,28.726666,12.761544,101.334077,12.769829,0.086792,104.311053,97.486169,1.208512
103.5,28.714307,12.7631,101.33537,12.769829,0.086799,104.296539,97.481931,1.209464
104,28.722185,12.764236,101.345811,12.769829,0.086873,104.278827,97.466703,1.208593
104.5,28.722185,12.764236,101.345811,12.769829,0.086888,104.278827,97.466703,1.210176
105,28.718788,12.76594,101.350336,12.769829,0.086912,104.271152,97.459804,1.209484
105.5,28.718788,12.76594,101.350336,12.775613,0.086913,104.271152,97.459804,1.210077
106,28.714159,12.76706,101.353269,12.775613,0.086785,104.266872,97.457143,1.209774
106.5,28.714603,12.768819,101.347551,12.775613,0.086821,104.245765,97.441374,1.208899
107,28.714603,12.768819,101.347551,12.775613,0.086859,104.245765,97.441374,1.21027
107.5,28.700865,12.77092,101.366246,12.775613,0.086874,104.239172,97.436298,1.210119
108,28.700865,12.77092,101.366246,12.781398,0.086899,104.239172,97.436298,1.210965
108.5,28.707758,12.771268,101.374151,12.775613,0.086979,104.234006,97.420283,1.210848
109,28.707758,12.771268,101.374151,12.781398,0.086981,104.234006,97.420283,1.208824
109.5,28.713421,12.772975,101.371466,12.781398,0.086945,104.217426,97.416488,1.207848
110,28.70377,12.774075,101.383001,12.781398,0.086979,104.212752,97.406041,1.205507
110.5,28.70377,12.774075,101.383001,12.781398,0.086896,104.212752,97.406041,1.208327
111,28.711796,12.776055,101.386879,12.781398,0.086985,104.197451,97.395841,1.208462
111.5,28.711796,12.776055,101.386879,12.781398,0.086979,104.197451,97.395841,1.20947
112,28.701997,12.777611,101.377085,12.781398,0.087026,104.19194,97.382486,1.209467
112.5,28.712485,12.778583,101.392597,12.787182,0.087018,104.178017,97.385246,1.210895
113,28.712485,12.778583,101.392597,12.787182,0.086909,104.178017,97.385246,1.209807
113.5,28.714652,12.779804,101.382255,12.787182,0.086888,104.166405,97.372433,1.209063
114,28.714652,12.779804,101.382255,12.787182,0.086973,104.166405,97.372433,1.209766
114.5,28.703179,12.781813,101.388122,12.787182,0.08696,104.152285,97.359177,1.209485
115,28.71219,12.782499,101.392348,12.792967,0.087059,104.140477,97.345626,1.20858
115.5,28.71219,12.782499,101.392348,12.792967,0.08706,104.140477,97.345626,1.208498
116,28.710811,12.78377,101.387476,12.787182,0.087025,104.139444,97.329511,1.209551
116.5,28.710811,12.78377,101.387476,12.787182,0.086925,104.139444,97.329511,1.210828
117,28.706429,12.785027,101.399408,12.787182,0.086933,104.124241,97.3303,1.210268
117.5,28.706429,12.785027,101.399408,12.792967,0.087058,104.124241,97.3303,1.209532
118,28.718739,12.786331,101.392846,12.792967,0.087058,104.113269,97.319163,1.210052
118.5,28.70185,12.788258,101.399011,12.792967,0.087056,104.12247,97.304379,1.211405
119,28.70185,12.788258,101.399011,12.792967,0.087107,104.12247,97.304379,1.208822
119.5,28.70441,12.788829,101.415667,12.792967,0.087027,104.101412,97.299008,1.209158
120,28.70441,12.788829,101.415667,12.798751,0.08697,104.101412,97.299008,1.208755
120.5,28.703967,12.790113,101.409651,12.798751,0.086992,104.090342,97.294228,1.20651
121,28.698058,12.792378,101.418501,12.798751,0.087034,104.074598,97.27565,1.208337
121.5,28.698058,12.792378,101.418501,12.798751,0.087032,104.074598,97.27565,1.210426
122,28.71091,12.793215,101.413678,12.798751,0.087049,104.069088,97.266188,1.2108
122.5,28.71091,12.793215,101.413678,12.798751,0.087137,104.069088,97.266188,1.210736
123,28.692002,12.795516,101.41149,12.804536,0.087049,104.063331,97.265498,1.210306
123.5,28.69599,12.796258,101.421981,12.804536,0.087041,104.054574,97.259437,1.208459
124,28.69599,12.796258,101.421981,12.804536,0.087037,104.054574,97.259437,1.208698
124.5,28.692396,12.798117,101.42213,12.804536,0.08701,104.04557,97.248251,1.210118
125,28.692396,12.798117,101.42213,12.804536,0.087054,104.04557,97.248251,1.209833
125.5,28.688259,12.799502,101.417457,12.804536,0.087054,104.036665,97.23667,1.209213
126,28.688259,12.799502,101.417457,12.81032,0.087099,104.036665,97.23667,1.210497
126.5,28.701308,12.800533,101.430036,12.81032,0.087158,104.021905,97.225336,1.207348
127,28.691509,12.802775,101.416611,12.81032,0.08721,104.017378,97.217452,1.207732
127.5,28.691509,12.802775,101.416611,12.81032,0.08722,104.017378,97.217452,1.208915
128,28.695892,12.803533,101.414175,12.81032,0.087092,103.997157,97.204294,1.208498
128.5,28.695892,12.803533,101.414175,12.81032,0.087092,103.997157,97.204294,1.208694
129,28.694858,12.804046,101.431428,12.816105,0.08712,103.994648,97.193157,1.209447
129.5,28.689047,12.806055,101.436847,12.81032,0.08711,103.980921,97.189166,1.21105
130,28.689047,12.806055,101.436847,12.81032,0.087105,103.980921,97.189166,1.209269
130.5,28.693134,12.807273,101.427102,12.816105,0.087184,103.981856,97.175614,1.208033
131,28.693134,12.807273,101.427102,12.816105,0.087189,103.981856,97.175614,1.208124
131.5,28.688653,12.808313,101.414424,12.816105,0.087216,103.967194,97.167779,1.208721
132,28.688653,12.808313,101.414424,12.816105,0.087267,103.967194,97.167779,1.210049
132.5,28.689589,12.809617,101.431875,12.816105,0.087171,103.964291,97.16497,1.210532
133,28.693922,12.811068,101.430135,12.821889,0.087205,103.955189,97.153439,1.210115
133.5,28.693922,12.811068,101.430135,12.821889,0.087198,103.955189,97.153439,1.210473
134,28.680726,12.811816,101.412037,12.821889,0.087218,103.949335,97.15541,1.210424
134.5,28.680726,12.811816,101.412037,12.821889,0.087302,103.949335,97.15541,1.210122
135,28.693922,12.813451,101.425213,12.821889,0.087268,103.946579,97.145061,1.209838
135.5,28.686487,12.814627,101.430881,12.821889,0.087228,103.942348,97.140872,1.210165
136,28.686487,12.814627,101.430881,12.827674,0.087212,103.942348,97.140872,1.210348
136.5,28.679987,12.815982,101.418103,12.821889,0.087162,103.91765,97.124266,1.210895
137,28.679987,12.815982,101.418103,12.827674,0.087169,103.91765,97.124266,1.208539
137.5,28.686832,12.817818,101.428395,12.827674,0.087187,103.919077,97.118007,1.206855
138,28.67073,12.818277,101.418501,12.827674,0.087258,103.917059,97.107806,1.208229
138.5,28.67073,12.818277,101.418501,12.827674,0.087272,103.917059,97.107806,1.209205
139,28.674916,12.820208,101.423622,12.827674,0.087359,103.915141,97.105737,1.209763
139.5,28.674916,12.820208,101.423622,12.827674,0.087208,103.915141,97.105737,1.209396
140,28.673832,12.821744,101.422826,12.833458,0.08718,103.911598,97.09524,1.208119
140.5,28.67137,12.823931,101.420987,12.833458,0.087228,103.89182,97.080949,1.208619
141,28.67137,12.823931,101.420987,12.833458,0.087248,103.89182,97.080949,1.209468
141.5,28.679002,12.824699,101.420191,12.833458,0.087276,103.892656,97.082034,1.209461
142,28.679002,12.824699,101.420191,12.833458,0.087349,103.892656,97.082034,1.207856
142.5,28.67462,12.826701,101.424368,12.833458,0.087249,103.880553,97.084793,1.208689
143,28.67462,12.826701,101.424368,12.833458,0.087255,103.880553,97.084793,1.210248
143.5,28.678855,12.82834,101.410695,12.839243,0.087245,103.871402,97.072424,1.210058
144,28.680923,12.829666,101.41328,12.839243,0.087266,103.872238,97.060351,1.210246
144.5,28.680923,12.829666,101.41328,12.839243,0.087266,103.872238,97.060351,1.210994
145,28.6662,12.831143,101.411341,12.839243,0.087341,103.866039,97.053994,1.210288
145.5,28.6662,12.831143,101.411341,12.839243,0.087406,103.866039,97.053994,1.210359
146,28.673044,12.832089,101.419943,12.845027,0.087438,103.865498,97.043399,1.21021
146.5,28.666151,12.834669,101.416015,12.839243,0.087322,103.857823,97.046947,1.210373
147,28.666151,12.834669,101.416015,12.839243,0.087319,103.857823,97.046947,1.208979
147.5,28.668416,12.835986,101.408756,12.845027,0.08731,103.847491,97.035564,1.208477
148,28.668416,12.835986,101.408756,12.845027,0.087413,103.847491,97.035564,1.208442
148.5,28.669548,12.838596,101.420489,12.850812,0.087439,103.850049,97.030981,1.209785
149,28.659504,12.839423,101.403336,12.845027,0.087378,103.841931,97.031079,1.209366
149.5,28.659504,12.839423,101.403336,12.850812,0.087384,103.841931,97.031079,1.207984
150,28.677575,12.840756,101.407413,12.850812,0.087385,103.851427,97.019154,1.206703
150.5,28.677575,12.840756,101.407413,12.850812,0.087341,103.851427,97.019154,1.20923
151,28.661966,12.842916,101.424517,12.850812,0.087484,103.846064,97.017331,1.210503
151.5,28.661966,12.842916,101.424517,12.850812,0.087489,103.846064,97.017331,1.210823
152,28.661424,12.84462,101.404927,12.850812,0.087478,103.833469,97.005208,1.210706
152.5,28.669204,12.846294,101.414871,12.862381,0.087475,103.848425,97.003631,1.210848
